,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60
Cibicidoides/Heterolepa,5.67,3.36,5.3,2.19,5.26,3.7,5.49,3.7,8,5.41,5.84,3.38,0,0.8,5.67,3.36,5.3,2.19,5.26,3.7,5.49,3.7,8,5.41,5.84,3.38,0,0.8,0,0.8,5.67,3.36,5.3,2.19,5.26,3.7,5.49,3.7,8,5.41,5.84,3.38,0,0.8,5.67,3.36,5.3,2.19,5.26,3.7,5.49,3.7,8,5.41,5.84,3.38,0,0.8,0,0.8
Lenticulina,7.22,12.08,9.93,2.92,5.26,2.78,1.1,6.48,5.6,3.38,2.6,4.05,2.04,1.6,7.22,12.08,9.93,2.92,5.26,2.78,1.1,6.48,5.6,3.38,2.6,4.05,2.04,1.6,2.04,1.6,7.22,12.08,9.93,2.92,5.26,2.78,1.1,6.48,5.6,3.38,2.6,4.05,2.04,1.6,7.22,12.08,9.93,2.92,5.26,2.78,1.1,6.48,5.6,3.38,2.6,4.05,2.04,1.6,2.04,1.6
Bolivina,0.52,0,1.32,5.11,6.32,4.63,4.4,1.85,2.4,0,0.65,0,0.68,0.8,0.52,0,1.32,5.11,6.32,4.63,4.4,1.85,2.4,0,0.65,0,0.68,0.8,0.68,0.8,0.52,0,1.32,5.11,6.32,4.63,4.4,1.85,2.4,0,0.65,0,0.68,0.8,0.52,0,1.32,5.11,6.32,4.63,4.4,1.85,2.4,0,0.65,0,0.68,0.8,0.68,0.8
Bulimina,1.55,1.34,1.99,2.19,6.32,9.26,4.4,3.7,3.2,2.7,1.95,1.35,0,0.8,1.55,1.34,1.99,2.19,6.32,9.26,4.4,3.7,3.2,2.7,1.95,1.35,0,0.8,0,0.8,1.55,1.34,1.99,2.19,6.32,9.26,4.4,3.7,3.2,2.7,1.95,1.35,0,0.8,1.55,1.34,1.99,2.19,6.32,9.26,4.4,3.7,3.2,2.7,1.95,1.35,0,0.8,0,0.8
Uvigerina,25.26,24.83,22.52,16.06,4.21,5.56,10.99,6.48,14.4,8.11,11.69,27.03,5.44,0,25.26,24.83,22.52,16.06,4.21,5.56,10.99,6.48,14.4,8.11,11.69,27.03,5.44,0,5.44,0,25.26,24.83,22.52,16.06,4.21,5.56,10.99,6.48,14.4,8.11,11.69,27.03,5.44,0,25.26,24.83,22.52,16.06,4.21,5.56,10.99,6.48,14.4,8.11,11.69,27.03,5.44,0,5.44,0
Praeglobobulimina,6.19,7.38,5.96,8.76,2.11,12.04,9.89,10.19,9.6,4.73,12.34,7.43,4.76,7.2,6.19,7.38,5.96,8.76,2.11,12.04,9.89,10.19,9.6,4.73,12.34,7.43,4.76,7.2,4.76,7.2,6.19,7.38,5.96,8.76,2.11,12.04,9.89,10.19,9.6,4.73,12.34,7.43,4.76,7.2,6.19,7.38,5.96,8.76,2.11,12.04,9.89,10.19,9.6,4.73,12.34,7.43,4.76,7.2,4.76,7.2
Tubular agglutinated,3.61,8.05,5.3,24.09,20,27.78,19.78,27.78,20.8,30.41,27.27,18.92,64.63,62.4,3.61,8.05,5.3,24.09,20,27.78,19.78,27.78,20.8,30.41,27.27,18.92,64.63,62.4,64.63,62.4,3.61,8.05,5.3,24.09,20,27.78,19.78,27.78,20.8,30.41,27.27,18.92,64.63,62.4,3.61,8.05,5.3,24.09,20,27.78,19.78,27.78,20.8,30.41,27.27,18.92,64.63,62.4,64.63,62.4
Reticulophragmium,10.31,5.37,7.28,3.65,0,0.93,0,0.93,1.6,12.16,2.6,3.38,3.4,2.4,10.31,5.37,7.28,3.65,0,0.93,0,0.93,1.6,12.16,2.6,3.38,3.4,2.4,3.4,2.4,10.31,5.37,7.28,3.65,0,0.93,0,0.93,1.6,12.16,2.6,3.38,3.4,2.4,10.31,5.37,7.28,3.65,0,0.93,0,0.93,1.6,12.16,2.6,3.38,3.4,2.4,3.4,2.4
Reophax,2.06,0.67,1.32,2.92,5.26,3.7,3.3,2.78,4.8,4.05,3.9,4.05,2.04,3.2,2.06,0.67,1.32,2.92,5.26,3.7,3.3,2.78,4.8,4.05,3.9,4.05,2.04,3.2,2.04,3.2,2.06,0.67,1.32,2.92,5.26,3.7,3.3,2.78,4.8,4.05,3.9,4.05,2.04,3.2,2.06,0.67,1.32,2.92,5.26,3.7,3.3,2.78,4.8,4.05,3.9,4.05,2.04,3.2,2.04,3.2
Cibicidoides/Heterolepa,5.67,3.36,5.3,2.19,5.26,3.7,5.49,3.7,8,5.41,5.84,3.38,0,0.8,5.67,3.36,5.3,2.19,5.26,3.7,5.49,3.7,8,5.41,5.84,3.38,0,0.8,0,0.8,5.67,3.36,5.3,2.19,5.26,3.7,5.49,3.7,8,5.41,5.84,3.38,0,0.8,5.67,3.36,5.3,2.19,5.26,3.7,5.49,3.7,8,5.41,5.84,3.38,0,0.8,0,0.8
Lenticulina,7.22,12.08,9.93,2.92,5.26,2.78,1.1,6.48,5.6,3.38,2.6,4.05,2.04,1.6,7.22,12.08,9.93,2.92,5.26,2.78,1.1,6.48,5.6,3.38,2.6,4.05,2.04,1.6,2.04,1.6,7.22,12.08,9.93,2.92,5.26,2.78,1.1,6.48,5.6,3.38,2.6,4.05,2.04,1.6,7.22,12.08,9.93,2.92,5.26,2.78,1.1,6.48,5.6,3.38,2.6,4.05,2.04,1.6,2.04,1.6
Bolivina,0.52,0,1.32,5.11,6.32,4.63,4.4,1.85,2.4,0,0.65,0,0.68,0.8,0.52,0,1.32,5.11,6.32,4.63,4.4,1.85,2.4,0,0.65,0,0.68,0.8,0.68,0.8,0.52,0,1.32,5.11,6.32,4.63,4.4,1.85,2.4,0,0.65,0,0.68,0.8,0.52,0,1.32,5.11,6.32,4.63,4.4,1.85,2.4,0,0.65,0,0.68,0.8,0.68,0.8
Bulimina,1.55,1.34,1.99,2.19,6.32,9.26,4.4,3.7,3.2,2.7,1.95,1.35,0,0.8,1.55,1.34,1.99,2.19,6.32,9.26,4.4,3.7,3.2,2.7,1.95,1.35,0,0.8,0,0.8,1.55,1.34,1.99,2.19,6.32,9.26,4.4,3.7,3.2,2.7,1.95,1.35,0,0.8,1.55,1.34,1.99,2.19,6.32,9.26,4.4,3.7,3.2,2.7,1.95,1.35,0,0.8,0,0.8
Uvigerina,25.26,24.83,22.52,16.06,4.21,5.56,10.99,6.48,14.4,8.11,11.69,27.03,5.44,0,25.26,24.83,22.52,16.06,4.21,5.56,10.99,6.48,14.4,8.11,11.69,27.03,5.44,0,5.44,0,25.26,24.83,22.52,16.06,4.21,5.56,10.99,6.48,14.4,8.11,11.69,27.03,5.44,0,25.26,24.83,22.52,16.06,4.21,5.56,10.99,6.48,14.4,8.11,11.69,27.03,5.44,0,5.44,0
Praeglobobulimina,6.19,7.38,5.96,8.76,2.11,12.04,9.89,10.19,9.6,4.73,12.34,7.43,4.76,7.2,6.19,7.38,5.96,8.76,2.11,12.04,9.89,10.19,9.6,4.73,12.34,7.43,4.76,7.2,4.76,7.2,6.19,7.38,5.96,8.76,2.11,12.04,9.89,10.19,9.6,4.73,12.34,7.43,4.76,7.2,6.19,7.38,5.96,8.76,2.11,12.04,9.89,10.19,9.6,4.73,12.34,7.43,4.76,7.2,4.76,7.2
